class,finger1x,finger1y,finger1z,finger2x,finger2y,finger2z,finger3x,finger3y,finger3z,finger4x,finger4y,finger4z,finger5x,finger5y,finger5z
1,-101.33,78.5722,9.30679,-88.8898,94.4428,15.1373,-80.3349,88.6631,32.2015,-64.7559,100.874,45.9057,-48.0436,103.173,50.8564
1,-101.807,79.2485,9.34725,-88.6044,95.2081,15.7255,-79.07,88.7877,34.1681,-63.6784,100.47,47.4455,-47.4637,103.158,51.5139
1,-102.009,79.5119,9.63699,-88.4855,95.7088,16.3492,-78.1087,88.9275,35.7087,-62.9452,100.257,48.5379,-47.1202,103.246,51.9867
1,-102.125,79.5962,9.90518,-88.5289,96.0071,16.8648,-77.4204,89.0587,36.8516,-62.4152,100.15,49.3658,-46.92,103.386,52.3266
1,-102.244,79.6422,10.1173,-88.7106,96.2032,17.2482,-76.9414,89.1876,37.7294,-62.0173,100.112,50.0928,-46.8571,103.58,52.6216
1,-102.359,79.6669,10.3045,-88.9827,96.3811,17.581,-76.4019,89.3952,38.7993,-61.5372,100.167,51.0793,-46.8765,103.96,52.9503
1,-102.41,79.6762,10.3863,-89.1396,96.4729,17.741,-76.0677,89.5439,39.4866,-61.2431,100.236,51.7165,-46.9113,104.217,53.1272
1,-102.504,79.6853,10.5346,-89.5014,96.6495,18.047,-75.2831,89.9393,41.1695,-60.6179,100.461,53.1763,-47.0436,104.809,53.4693
1,-102.642,79.6897,10.7227,-89.992,96.8299,18.2783,-74.3119,90.525,43.3765,-60.0411,100.819,54.6808,-47.2561,105.438,53.6928
1,-102.834,79.6436,10.9725,-90.5727,96.7643,18.3267,-73.3049,91.2412,45.6966,-59.5901,101.238,55.7884,-47.4338,105.946,53.6541
1,-103.217,79.442,11.3258,-91.306,96.4172,17.9681,-72.556,92.0799,47.6059,-59.4439,101.718,56.2124,-47.6364,106.342,53.3637
1,-103.716,79.0026,11.6909,-92.0472,95.8447,17.5427,-72.1364,92.8943,49.0598,-59.4823,102.155,56.3448,-47.8418,106.623,53.073
1,-104.071,78.3773,11.8981,-92.6416,95.1418,17.1738,-71.9983,93.5453,50.0887,-59.6234,102.488,56.3424,-48.0439,106.808,52.8174
1,-104.321,77.9513,12.1235,-93.0957,94.668,17.0826,-71.9459,93.9924,50.8282,-59.7346,102.692,56.3178,-48.1846,106.912,52.6336
1,-104.695,77.5407,12.4071,-93.6123,94.2275,17.1356,-72.0203,94.303,51.4016,-59.8553,102.828,56.2916,-48.3083,106.975,52.4888
1,-105.091,77.1131,12.3885,-94.3908,93.7208,17.028,-72.3336,94.5332,51.7638,-60.0805,102.961,56.2218,-48.4957,107.039,52.3122
1,-105.327,76.8172,12.2507,-95.1537,93.3369,16.9938,-72.7735,94.6355,52.0202,-60.4115,103.07,56.1425,-48.7817,107.105,52.0977
1,-105.944,76.8147,11.9405,-96.0424,93.2448,16.8773,-73.3322,94.7322,52.1286,-60.854,103.189,56.0307,-49.184,107.193,51.8346
1,-106.536,76.8958,11.4676,-96.9833,93.357,16.5847,-73.9744,94.8789,52.045,-61.383,103.341,55.8495,-49.6833,107.318,51.5158
1,-106.672,76.9357,11.2907,-97.3196,93.4299,16.4586,-74.2574,94.9469,51.9745,-61.6322,103.411,55.7552,-49.9308,107.38,51.3568
1,-106.72,76.8569,11.183,-97.7779,93.4726,16.382,-74.699,95.0325,51.8524,-62.0581,103.517,55.5902,-50.3798,107.484,51.0649
1,-107.464,77.0015,10.9461,-98.4894,93.5811,16.2453,-75.0147,95.0535,51.6795,-62.3421,103.552,55.4089,-50.6924,107.522,50.8018
1,-108.254,76.9014,9.95542,-99.4977,93.4797,15.6221,-75.3095,95.0277,51.3973,-62.5656,103.552,55.1902,-50.9289,107.531,50.5529
1,-108.417,76.7183,8.38548,-100.111,93.3517,14.4751,-75.6148,95.0665,51.0204,-62.7911,103.59,54.9309,-51.1454,107.565,50.3014
1,-108.405,76.7585,7.3703,-100.408,93.3525,13.768,-75.891,95.0712,50.7064,-63.0299,103.607,54.6961,-51.3806,107.591,50.068
1,-108.395,77.0909,6.48896,-100.556,93.5528,13.2694,-76.1735,95.0193,50.4052,-63.3602,103.55,54.4313,-51.7239,107.567,49.8025
1,-108.236,77.7274,5.38964,-100.421,94.1333,12.6754,-76.3728,94.9432,50.1046,-63.715,103.374,54.079,-52.0774,107.436,49.4894
1,-107.558,77.7037,4.20317,-99.6488,94.4373,12.4157,-76.4361,94.9001,49.8099,-63.8935,103.229,53.6392,-52.2955,107.274,49.0291
1,-106.615,77.2366,2.64326,-98.8557,94.5392,12.8455,-76.4698,94.8578,49.5518,-64.0227,103.077,53.2088,-52.4776,107.074,48.5254
1,-105.636,76.3804,0.875971,-98.1075,94.5032,13.5655,-76.4971,94.8531,49.3734,-64.1039,102.961,52.8373,-52.608,106.887,48.0268
1,-104.974,75.8549,-0.455339,-97.216,94.2322,14.7517,-76.5382,94.8808,49.2036,-64.1361,102.839,52.4955,-52.666,106.7,47.5746
1,-104.636,75.8717,-1.29115,-96.3061,93.9039,15.9111,-76.567,94.9073,49.0645,-64.0646,102.652,52.1178,-52.609,106.501,47.1205
1,-104.515,75.9157,-1.66157,-95.9137,93.7655,16.3916,-76.5811,94.9212,49.0013,-64.0387,102.58,51.9292,-52.5955,106.442,46.9222
1,-104.378,76.1223,-2.36839,-95.2538,93.5618,17.1849,-76.6117,94.9539,48.8756,-64.0251,102.51,51.6628,-52.597,106.386,46.6469
1,-104.293,76.3718,-3.02217,-94.5013,93.3946,18.0276,-76.6436,94.9932,48.7449,-64.0299,102.49,51.4771,-52.606,106.37,46.4708
1,-104.224,76.4808,-3.44291,-93.7367,93.2533,18.8139,-76.6721,95.0311,48.6235,-64.0374,102.485,51.3383,-52.6132,106.364,46.3561
1,-104.188,76.5165,-3.65489,-93.1367,93.1637,19.4,-76.6964,95.0656,48.5169,-64.043,102.485,51.2343,-52.6173,106.363,46.2786
1,-104.173,76.5394,-3.76466,-92.4907,93.0993,20.0174,-76.7253,95.1104,48.3868,-64.0467,102.488,51.1336,-52.6194,106.364,46.2053
1,-104.151,76.604,-3.91273,-91.8527,93.0909,20.6904,-76.7677,95.1882,48.1926,-64.0453,102.495,51.0532,-52.6169,106.367,46.1542
1,-104.128,76.7032,-4.00454,-91.4701,93.0851,21.1674,-76.7915,95.2402,48.0792,-64.0357,102.494,51.027,-52.6097,106.367,46.1388
1,-104.112,76.7997,-4.04752,-91.2622,93.0872,21.4499,-76.8044,95.2708,48.019,-64.0286,102.493,51.0185,-52.6046,106.367,46.1349
1,-104.099,76.8967,-4.04201,-91.1326,93.1095,21.6522,-76.8133,95.2986,47.9774,-64.0246,102.494,51.0202,-52.6014,106.368,46.1377
1,-104.092,76.9694,-4.01951,-91.0377,93.1352,21.8106,-76.821,95.3288,47.939,-64.0222,102.495,51.0234,-52.5993,106.368,46.1409
1,-104.091,77.0125,-4.00032,-90.9617,93.1579,21.9379,-76.8278,95.3605,47.9015,-64.0206,102.496,51.0258,-52.5979,106.368,46.1432
1,-104.091,77.0265,-3.99077,-90.9314,93.1666,21.9896,-76.8301,95.3739,47.8869,-64.0197,102.496,51.0269,-52.5971,106.368,46.1443
1,-104.093,77.0483,-3.97261,-90.891,93.1773,22.0621,-76.833,95.3913,47.8698,-64.0182,102.496,51.0294,-52.5958,106.368,46.1465
1,-104.097,77.0739,-3.95007,-90.861,93.1824,22.1169,-76.834,95.4047,47.8573,-64.0143,102.494,51.0357,-52.5916,106.366,46.1536
1,-104.097,77.0853,-3.93306,-90.8456,93.1876,22.1524,-76.8353,95.4136,47.8532,-64.013,102.495,51.0415,-52.5898,106.365,46.1604
1,-104.098,77.0905,-3.92385,-90.8372,93.1907,22.1731,-76.8361,95.4184,47.8515,-64.0123,102.495,51.0451,-52.589,106.365,46.1644
1,-104.098,77.0943,-3.91359,-90.8297,93.1933,22.1901,-76.8362,95.4228,47.8501,-64.0116,102.495,51.0478,-52.5881,106.365,46.1673
1,-104.097,77.0973,-3.90234,-90.8204,93.196,22.2102,-76.8357,95.4295,47.8489,-64.0102,102.495,51.0518,-52.5863,106.365,46.1725
